DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
WILSON CSD,0.05,0.0,0.054945054945054944
ADIRONDACK CSD,0.1,0.43,0.06546511627906977
CAMDEN CSD,0.11,0.0,0.12213793103448277
CLINTON CSD,0.07,0.2,0.05728260869565218
NEW HARTFORD CSD,0.07,0.13,0.06393617021276596
NY MILLS UFSD,0.22,0.29,0.20157894736842105
SAUQUOIT VALLEY CSD,0.05,0.18,0.034705882352941184
REMSEN CSD,0.15,0.75,0.10135135135135136
ROME CITY SD,0.1,0.15,0.09134615384615384
WATERVILLE CSD,0.11,0.13,0.10555555555555554
SHERRILL CITY SD,0.09,0.14,0.08236641221374046
HOLLAND PATENT CSD,0.13,0.23,0.1031958762886598
UTICA CITY SD,0.1,0.16,0.0896969696969697
WESTMORELAND CSD,0.16,0.13,0.16944444444444443
ORISKANY CSD,0.22,0.47,0.15452380952380954
WHITESBORO CSD,0.07,0.21,0.06339055793991417
WEST GENESEE CSD,0.15,0.33,0.14723076923076925
NORTH SYRACUSE CSD,0.06,0.11,0.055775862068965516
EAST SYRACUSE MINOA CSD,0.15,0.1,0.15717391304347825
JAMESVILLE-DEWITT CSD,0.06,0.19,0.04594594594594595
JORDAN-ELBRIDGE CSD,0.06,0.0,0.06593406593406594
FABIUS-POMPEY CSD,0.14,0.25,0.1250847457627119
WESTHILL CSD,0.14,0.15,0.1384426229508197
SOLVAY UFSD,0.08,0.17,0.06703389830508474
LAFAYETTE CSD,0.09,0.0,0.0984
BALDWINSVILLE CSD,0.08,0.2,0.07243243243243244
FAYETTEVILLE-MANLIUS CSD,0.08,0.32,0.06679611650485437
MARCELLUS CSD,0.1,0.29,0.09554687500000002
ONONDAGA CSD,0.14,0.0,0.16366197183098594
LIVERPOOL CSD,0.14,0.31,0.11299776286353469
LYNCOURT UFSD,0.15,0.2,0.14545454545454542
SKANEATELES CSD,0.15,0.0,0.1598130841121495
SYRACUSE CITY SD,0.13,0.17,0.11331147540983608
TULLY CSD,0.21,0.2,0.21085714285714283
