DISTRICT,YEAR,PER_TURN_ALL,PER_TURN_INEXP,NUM_TEACH,NUM_TEACH_INEXP,PER_TEACH_INEXP,NUM_TEACH_EXP,PER_TEACH_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_FRPL,K12,ATTENDANCE_RATE,PER_ELL,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_SWD,PER_STATE_LOCAL_EXP,PER_FED_STATE_LOCAL_EXP,NUM_TOT_TURN,NUM_INEXP_TURN,NUM_EXP_TURN,PER_TURN_EXP
PORTVILLE CSD,2022,0.03,0.14,77.0,5.0,6.0,72.0,93.5064935064935,38.0,5.0,43.0,940.0,94.0,0.0,1.0,2.0,0.0,92.0,11.0,15281.0,16883.0,2.31,0.7000000000000001,1.6099999999999999,0.02236111111111111
RANDOLPH CSD,2022,0.05,0.0,82.0,10.0,12.0,72.0,87.8048780487805,42.0,5.0,47.0,802.0,91.0,0.0,1.0,3.0,0.0,88.0,15.0,16452.0,19539.0,4.1000000000000005,0.0,4.1000000000000005,0.05694444444444445
RANDOLPH ACAD UFSD,2022,0.23,0.33,29.0,8.0,28.0,21.0,72.41379310344827,22.0,0.0,22.0,150.0,80.0,1.0,10.0,9.0,1.0,64.0,92.0,53657.0,54883.0,6.67,2.64,4.029999999999999,0.19190476190476188
SALAMANCA CITY SD,2022,0.07,0.04,146.0,23.0,16.0,123.0,84.24657534246576,67.0,2.0,69.0,1225.0,86.0,0.0,0.0,7.0,0.0,46.0,13.0,27892.0,30310.0,10.22,0.92,9.3,0.07560975609756099
YORKSHIRE-PIONEER CSD,2022,0.06,0.06,231.0,19.0,8.0,212.0,91.77489177489177,46.0,6.0,52.0,2158.0,90.0,0.0,0.0,2.0,1.0,95.0,25.0,18105.0,19697.0,13.86,1.14,12.719999999999999,0.06
AUBURN CITY SD,2022,0.12,0.17,342.0,79.0,23.0,263.0,76.90058479532163,55.0,1.0,56.0,3843.0,89.0,1.0,7.0,6.0,1.0,74.0,17.0,17311.0,19096.0,41.04,13.430000000000001,27.61,0.1049809885931559
WEEDSPORT CSD,2022,0.09,0.17,67.0,7.0,10.0,60.0,89.55223880597015,31.0,2.0,33.0,685.0,94.0,0.0,0.0,4.0,0.0,91.0,17.0,20985.0,23332.0,6.029999999999999,1.1900000000000002,4.839999999999999,0.08066666666666665
CATO-MERIDIAN CSD,2022,0.21,0.5,77.0,15.0,19.0,62.0,80.51948051948052,43.0,3.0,46.0,820.0,91.0,0.0,0.0,3.0,0.0,92.0,12.0,17403.0,19378.0,16.169999999999998,7.5,8.669999999999998,0.13983870967741932
SOUTHERN CAYUGA CSD,2022,0.27,0.43,58.0,10.0,17.0,48.0,82.75862068965517,42.0,3.0,45.0,621.0,91.0,8.0,0.0,14.0,0.0,82.0,15.0,18839.0,20640.0,15.66,4.3,11.36,0.23666666666666666
PORT BYRON CSD,2022,0.08,0.33,54.0,3.0,6.0,51.0,94.44444444444444,44.0,0.0,44.0,705.0,89.0,0.0,0.0,3.0,0.0,93.0,14.0,19764.0,21942.0,4.32,0.99,3.33,0.06529411764705882
