YEAR,DISTRICT,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,STARPOINT CENTRAL SCHOOL DISTRICT,11.0,4.0,1.0,1.0,1.0,15.0,3.0
2014,ROYALTON-HARTLAND CENTRAL SCHOOL DISTRICT,20.0,12.0,1.0,2.0,0.0,32.0,3.0
2014,BARKER CENTRAL SCHOOL DISTRICT,31.0,11.0,1.0,9.0,0.0,42.0,10.0
2014,WILSON CENTRAL SCHOOL DISTRICT,26.0,11.0,1.0,3.0,0.0,37.0,4.0
2014,ADIRONDACK CENTRAL SCHOOL DISTRICT,37.0,10.0,1.0,0.0,0.0,47.0,1.0
2014,CAMDEN CENTRAL SCHOOL DISTRICT,38.0,14.0,1.0,1.0,0.0,52.0,2.0
2014,CLINTON CENTRAL SCHOOL DISTRICT,13.0,3.0,2.0,0.0,2.0,16.0,4.0
2014,NEW HARTFORD CENTRAL SCHOOL DISTRICT,8.0,4.0,2.0,4.0,6.0,12.0,12.0
2014,NEW YORK MILLS UNION FREE SCHOOL DISTRICT,25.0,10.0,1.0,4.0,3.0,35.0,8.0
2014,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,23.0,10.0,1.0,3.0,1.0,33.0,5.0
2014,REMSEN CENTRAL SCHOOL DISTRICT,40.0,7.0,0.0,1.0,0.0,47.0,1.0
2014,ROME CITY SCHOOL DISTRICT,45.0,8.0,9.0,5.0,1.0,53.0,15.0
2014,WATERVILLE CENTRAL SCHOOL DISTRICT,34.0,8.0,0.0,1.0,1.0,42.0,2.0
2014,SHERRILL CITY SCHOOL DISTRICT,26.0,9.0,1.0,1.0,1.0,35.0,3.0
2014,HOLLAND PATENT CENTRAL SCHOOL DISTRICT,26.0,10.0,0.0,1.0,1.0,36.0,2.0
2014,UTICA CITY SCHOOL DISTRICT,71.0,5.0,26.0,18.0,16.0,76.0,60.0
2014,WESTMORELAND CENTRAL SCHOOL DISTRICT,22.0,9.0,1.0,2.0,1.0,31.0,4.0
2014,ORISKANY CENTRAL SCHOOL DISTRICT,23.0,9.0,0.0,3.0,1.0,32.0,4.0
2014,WHITESBORO CENTRAL SCHOOL DISTRICT,18.0,5.0,1.0,2.0,1.0,23.0,4.0
2014,WEST GENESEE CENTRAL SCHOOL DISTRICT,14.0,6.0,3.0,2.0,1.0,20.0,6.0
2014,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,24.0,8.0,4.0,3.0,2.0,32.0,9.0
2014,EAST SYRACUSE-MINOA CENTRAL SCHOOL DISTRICT,28.0,10.0,4.0,2.0,2.0,38.0,8.0
