YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,8.0,0.0,8.20125786163522,41.0,10.0,2.0,1.0,1.0,51.0,4.0
2014,NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT,14.000000000000002,20.0,13.89189189189189,35.0,10.0,1.0,1.0,1.0,45.0,3.0
2014,CHAZY UNION FREE SCHOOL DISTRICT,4.0,0.0,4.0,22.0,4.0,1.0,0.0,0.0,26.0,1.0
2014,NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT,9.0,28.999999999999996,8.52380952380952,39.0,9.0,0.0,0.0,1.0,48.0,1.0
2014,PERU CENTRAL SCHOOL DISTRICT,9.0,0.0,9.23076923076923,29.0,10.0,2.0,1.0,1.0,39.0,4.0
2014,PLATTSBURGH CITY SCHOOL DISTRICT,8.0,7.000000000000001,8.04395604395604,39.0,7.0,7.0,0.0,3.0,46.0,10.0
2014,SARANAC CENTRAL SCHOOL DISTRICT,10.0,0.0,10.44776119402985,15.0,6.0,1.0,1.0,0.0,21.0,2.0
2014,BERKSHIRE UNION FREE SCHOOL DISTRICT,33.0,50.0,31.78571428571429,77.0,1.0,51.0,14.0,0.0,78.0,65.0
2014,TACONIC HILLS CENTRAL SCHOOL DISTRICT,17.0,27.0,16.5,37.0,14.0,2.0,8.0,1.0,51.0,11.0
2014,GERMANTOWN CENTRAL SCHOOL DISTRICT,14.000000000000002,25.0,13.58490566037736,23.0,8.0,1.0,8.0,1.0,31.0,10.0
2014,CHATHAM CENTRAL SCHOOL DISTRICT,10.0,17.0,9.229999999999999,21.0,8.0,3.0,5.0,1.0,29.0,9.0
2014,HUDSON CITY SCHOOL DISTRICT,17.0,28.999999999999996,16.84516129032258,52.0,10.0,24.0,13.0,10.0,62.0,47.0
2014,KINDERHOOK CENTRAL SCHOOL DISTRICT,8.0,8.0,8.0,24.0,5.0,3.0,2.0,1.0,29.0,6.0
2014,NEW LEBANON CENTRAL SCHOOL DISTRICT,15.0,15.0,15.0,20.0,14.0,4.0,1.0,1.0,34.0,6.0
2014,CINCINNATUS CENTRAL SCHOOL DISTRICT,14.000000000000002,17.0,13.718749999999998,42.0,11.0,0.0,1.0,0.0,53.0,1.0
2014,CORTLAND CITY SCHOOL DISTRICT,12.0,30.0,10.36363636363636,42.0,9.0,4.0,4.0,1.0,51.0,9.0
2014,MCGRAW CENTRAL SCHOOL DISTRICT,7.000000000000001,0.0,7.6603773584905595,39.0,9.0,1.0,2.0,1.0,48.0,4.0
2014,HOMER CENTRAL SCHOOL DISTRICT,22.0,28.999999999999996,21.4235294117647,28.0,9.0,1.0,2.0,1.0,37.0,4.0
2014,MARATHON CENTRAL SCHOOL DISTRICT,13.0,0.0,13.82539682539682,41.0,12.0,2.0,1.0,0.0,53.0,3.0
2014,ANDES CENTRAL SCHOOL DISTRICT,4.0,0.0,4.0,39.0,17.0,1.0,4.0,1.0,56.0,6.0
2014,DOWNSVILLE CENTRAL SCHOOL DISTRICT,11.0,25.0,10.125,36.0,17.0,3.0,1.0,0.0,53.0,4.0
2014,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,5.0,9.0,4.54285714285714,49.0,17.0,1.0,1.0,0.0,66.0,2.0
2014,DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI,8.0,14.000000000000002,7.75342465753424,24.0,9.0,1.0,1.0,1.0,33.0,3.0
2014,FRANKLIN CENTRAL SCHOOL DISTRICT,3.0,0.0,3.10344827586206,32.0,16.0,2.0,3.0,1.0,48.0,6.0
2014,HANCOCK CENTRAL SCHOOL DISTRICT,13.0,0.0,13.95121951219512,42.0,20.0,2.0,4.0,0.0,62.0,6.0
2014,MARGARETVILLE CENTRAL SCHOOL DISTRICT,13.0,14.000000000000002,12.891891891891891,43.0,14.0,0.0,21.0,3.0,57.0,24.0
2014,ROXBURY CENTRAL SCHOOL DISTRICT,7.000000000000001,14.000000000000002,6.46153846153846,38.0,9.0,1.0,4.0,0.0,47.0,5.0
2014,SIDNEY CENTRAL SCHOOL DISTRICT,42.0,70.0,37.64444444444444,47.0,10.0,1.0,5.0,1.0,57.0,7.0
2014,STAMFORD CENTRAL SCHOOL DISTRICT,19.0,0.0,20.78125,34.0,14.0,2.0,3.0,1.0,48.0,6.0
2014,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,11.0,0.0,12.0,28.0,10.0,4.0,1.0,2.0,38.0,7.0
2014,WALTON CENTRAL SCHOOL DISTRICT,14.000000000000002,20.0,13.929411764705879,43.0,9.0,1.0,2.0,1.0,52.0,4.0
2014,BEACON CITY SCHOOL DISTRICT,14.000000000000002,22.0,13.582608695652171,35.0,10.0,19.0,27.0,2.0,45.0,48.0
2014,DOVER UNION FREE SCHOOL DISTRICT,11.0,0.0,11.3,28.0,8.0,6.0,16.0,2.0,36.0,24.0
2014,HYDE PARK CENTRAL SCHOOL DISTRICT,12.0,24.0,11.19434628975265,30.0,12.0,12.0,12.0,2.0,42.0,26.0
2014,NORTHEAST CENTRAL SCHOOL DISTRICT,13.0,0.0,13.3768115942029,37.0,12.0,4.0,13.0,2.0,49.0,19.0
2014,PAWLING CENTRAL SCHOOL DISTRICT,19.0,25.0,18.757575757575758,14.0,5.0,1.0,12.0,2.0,19.0,15.0
2014,PINE PLAINS CENTRAL SCHOOL DISTRICT,11.0,0.0,11.37078651685393,23.0,9.0,2.0,10.0,1.0,32.0,13.0
2014,POUGHKEEPSIE CITY SCHOOL DISTRICT,16.0,19.0,15.75165562913907,78.0,8.0,55.0,30.0,1.0,86.0,86.0
2014,ARLINGTON CENTRAL SCHOOL DISTRICT,12.0,35.0,11.11674347158218,13.0,4.0,7.0,11.0,4.0,17.0,22.0
2014,SPACKENKILL UNION FREE SCHOOL DISTRICT,16.0,40.0,15.50344827586207,15.0,4.0,9.0,11.0,14.0,19.0,34.0
2014,RED HOOK CENTRAL SCHOOL DISTRICT,11.0,8.0,11.16564417177914,12.0,5.0,2.0,6.0,2.0,17.0,10.0
2014,RHINEBECK CENTRAL SCHOOL DISTRICT,7.000000000000001,8.0,6.948453608247419,9.0,3.0,2.0,6.0,3.0,12.0,11.0
2014,WAPPINGERS CENTRAL SCHOOL DISTRICT,7.000000000000001,21.0,6.64010282776349,12.0,5.0,6.0,13.0,6.0,17.0,25.0
2014,MILLBROOK CENTRAL SCHOOL DISTRICT,12.0,11.0,12.033333333333331,13.0,3.0,2.0,8.0,1.0,16.0,11.0
2014,ALDEN CENTRAL SCHOOL DISTRICT,8.0,20.0,7.73134328358209,16.0,7.0,1.0,1.0,1.0,23.0,3.0
