YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
2014,RHINEBECK CENTRAL SCHOOL DISTRICT,0.07,0.08,0.06948453608247424
2014,WAPPINGERS CENTRAL SCHOOL DISTRICT,0.07,0.21,0.06640102827763497
2014,MILLBROOK CENTRAL SCHOOL DISTRICT,0.12,0.11,0.12033333333333333
2014,ALDEN CENTRAL SCHOOL DISTRICT,0.08,0.2,0.0773134328358209
2014,AMHERST CENTRAL SCHOOL DISTRICT,0.07,0.3,0.06318518518518519
2014,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,0.11,0.32,0.1052589641434263
2014,SWEET HOME CENTRAL SCHOOL DISTRICT,0.08,0.33,0.07728260869565218
2014,EAST AURORA UNION FREE SCHOOL DISTRICT,0.14,0.29,0.13323308270676693
2014,BUFFALO CITY SCHOOL DISTRICT,0.17,0.25,0.16623698384201077
2014,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,0.17,0.25,0.162
2014,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,0.13,0.22,0.12574324324324326
2014,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,0.11,0.22,0.10910569105691056
2014,DEPEW UNION FREE SCHOOL DISTRICT,0.14,0.0,0.14086956521739133
2014,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,0.09,0.25,0.08731092436974788
2014,CLARENCE CENTRAL SCHOOL DISTRICT,0.16,0.33,0.16
2014,SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,0.06,0.33,0.060000000000000005
2014,EDEN CENTRAL SCHOOL DISTRICT,0.14,0.33,0.13366666666666668
2014,IROQUOIS CENTRAL SCHOOL DISTRICT,0.15,0.0,0.1515463917525773
2014,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),0.06,0.22,0.06
2014,GRAND ISLAND CENTRAL SCHOOL DISTRICT,0.07,0.17,0.06870129870129871
2014,HAMBURG CENTRAL SCHOOL DISTRICT,0.12,0.0,0.12124137931034482
2014,FRONTIER CENTRAL SCHOOL DISTRICT,0.11,0.63,0.1071891891891892
2014,HOLLAND CENTRAL SCHOOL DISTRICT,0.18,0.0,0.1872972972972973
2014,LACKAWANNA CITY SCHOOL DISTRICT,0.27,0.0,0.275472972972973
2014,LANCASTER CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08075294117647058
2014,AKRON CENTRAL SCHOOL DISTRICT,0.09,0.0,0.09195652173913042
2014,NORTH COLLINS CENTRAL SCHOOL DISTRICT,0.1,0.14,0.09793103448275862
2014,ORCHARD PARK CENTRAL SCHOOL DISTRICT,0.09,0.3,0.08234375000000001
2014,TONAWANDA CITY SCHOOL DISTRICT,0.11,0.25,0.10906040268456375
2014,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,0.15,0.33,0.14772870662460566
2014,WEST SENECA CENTRAL SCHOOL DISTRICT,0.21,0.18,0.21041666666666667
2014,CROWN POINT CENTRAL SCHOOL DISTRICT,0.08,0.0,0.09454545454545454
2014,ELIZABETHTOWN-LEWIS CENTRAL SCHOOL DISTRICT,0.06,0.33,0.051
2014,KEENE CENTRAL SCHOOL DISTRICT,0.14,0.0,0.1453846153846154
2014,MINERVA CENTRAL SCHOOL DISTRICT,0.14,0.2,0.13760000000000003
2014,MORIAH CENTRAL SCHOOL DISTRICT,0.06,0.0,0.0646875
2014,NEWCOMB CENTRAL SCHOOL DISTRICT,0.05,0.33,0.05
2014,LAKE PLACID CENTRAL SCHOOL DISTRICT,0.11,0.5,0.09352112676056339
2014,SCHROON LAKE CENTRAL SCHOOL DISTRICT,0.0,0.0,0.0
2014,TICONDEROGA CENTRAL SCHOOL DISTRICT,0.14,0.0,0.1472727272727273
2014,WESTPORT CENTRAL SCHOOL DISTRICT,0.04,0.5,0.04
2014,WILLSBORO CENTRAL SCHOOL DISTRICT,0.09,0.33,0.09
2014,TUPPER LAKE CENTRAL SCHOOL DISTRICT,0.12,0.2,0.11124999999999999
2014,CHATEAUGAY CENTRAL SCHOOL DISTRICT,0.0,0.0,0.0
2014,SALMON RIVER CENTRAL SCHOOL DISTRICT,0.13,0.08,0.1337878787878788
2014,SARANAC LAKE CENTRAL SCHOOL DISTRICT,0.1,0.11,0.09984
2014,MALONE CENTRAL SCHOOL DISTRICT,0.05,0.0,0.051030927835051546
2014,BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,0.12,0.2,0.11757575757575757
2014,SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT,0.11,0.0,0.1188
2014,WHEELERVILLE UNION FREE SCHOOL DISTRICT,0.0,0.0,0.0
2014,GLOVERSVILLE CITY SCHOOL DISTRICT,0.12,0.33,0.11058295964125558
2014,JOHNSTOWN CITY SCHOOL DISTRICT,0.13,0.3,0.11745901639344264
2014,MAYFIELD CENTRAL SCHOOL DISTRICT,0.17,0.0,0.18
2014,NORTHVILLE CENTRAL SCHOOL DISTRICT,0.09,,
2014,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,0.05,0.08,0.048593750000000005
2014,ALEXANDER CENTRAL SCHOOL DISTRICT,0.09,0.13,0.08783783783783784
2014,BATAVIA CITY SCHOOL DISTRICT,0.09,0.32,0.08206896551724137
2014,BYRON-BERGEN CENTRAL SCHOOL DISTRICT,0.2,0.2,0.2
2014,ELBA CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08340425531914894
2014,LE ROY CENTRAL SCHOOL DISTRICT,0.05,0.13,0.045294117647058825
2014,OAKFIELD-ALABAMA CENTRAL SCHOOL DISTRICT,0.07,0.0,0.0725609756097561
2014,PAVILION CENTRAL SCHOOL DISTRICT,0.1,0.67,0.07835443037974685
2014,PEMBROKE CENTRAL SCHOOL DISTRICT,0.12,0.0,0.12428571428571428
2014,CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,0.29,0.33,0.2889743589743589
2014,CATSKILL CENTRAL SCHOOL DISTRICT,0.05,0.1,0.04854014598540146
2014,COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT,0.1,0.0,0.10260869565217393
2014,GREENVILLE CENTRAL SCHOOL DISTRICT,0.13,0.5,0.11981651376146789
2014,HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08
2014,WINDHAM-ASHLAND-JEWETT CENTRAL SCHOOL DISTRICT,0.09,0.0,0.09439024390243901
2014,INDIAN LAKE CENTRAL SCHOOL DISTRICT,0.08,0.4,0.05333333333333334
2014,INLET COMMON SCHOOL DISTRICT,0.0,,
2014,LAKE PLEASANT CENTRAL SCHOOL DISTRICT,0.0,0.0,0.0
2014,LONG LAKE CENTRAL SCHOOL DISTRICT,0.06,0.0,0.0675
2014,WELLS CENTRAL SCHOOL DISTRICT,0.07,0.0,0.07
2014,WEST CANADA VALLEY CENTRAL SCHOOL DISTRICT,0.05,0.0,0.05431034482758621
2014,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,0.19,0.0,0.1955072463768116
2014,HERKIMER CENTRAL SCHOOL DISTRICT,0.11,0.3,0.09488636363636363
